"animal_id","water_year","first_detection_startup_1","last_detection_startup_1","last_detection_startup_2","first_detection_endup","route_cluster","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0453-2009-10-23",2014,2014-04-29 13:42:41,2014-04-29 21:04:32,2014-05-02 07:54:31,2014-05-11 13:25:11,1,1,"up",2014-05-02 07:54:31,5071.77777777778,4660,9.22962962962963,67.0303571428571,65.9089285714286
"UCDHIST-GS0455-2010-05-04",2014,2014-03-10 07:26:43,2014-03-11 01:03:35,2014-03-14 10:40:43,2014-05-01 19:43:51,1,1,"up",2014-03-14 10:40:43,5700.08333333333,8886.85416666667,48.3771759259259,58.7059523814286,57.5846532085714
"UCDHIST-GS0457-2010-05-06",2015,2015-02-11 07:05:38,2015-02-13 13:27:39,2015-02-16 21:50:12,2015-03-02 12:30:48,0,1,"up",2015-02-16 21:50:12,6229.64285714286,11735.2142857143,13.6115277777778,57.3446428571429,55.6476190485714
"UCDHIST-GS0458-2010-05-08",2015,2015-04-12 20:55:58,2015-04-15 20:19:19,2015-04-21 14:05:56,2015-05-30 16:50:27,1,1,"up",2015-04-21 14:05:56,5652.66666666667,6443.12820512821,39.1142476851852,64.9440476171429,62.8795548671429
"UCDHIST-GS0460-2011-04-12",2015,2015-04-02 05:24:09,2015-04-03 19:35:05,2015-04-06 01:34:40,2015-04-24 03:01:46,1,1,"up",2015-04-06 01:34:40,4341.5,5841.72222222222,18.0604861111111,62.32009804,64.5922619042857
"UCDHIST-GS0461-2011-04-12",2016,2016-03-20 13:07:17,2016-03-23 13:41:11,2016-03-26 00:58:46,2016-04-11 17:35:36,1,1,"up",2016-03-26 00:58:46,11340.1764705882,27360,16.6922453703704,57.8661564628571,57.17148033
"UCDHIST-GS0463-2011-04-12",2016,2016-02-04 05:06:48,2016-02-04 23:50:52,2016-02-06 04:06:36,2016-02-27 10:56:06,0,1,"up",2016-02-06 04:06:36,7515.90909090909,14730.5909090909,21.284375,51.0107142842857,50.5505952385714
"UCDHIST-GS0465-2011-04-12",2017,2017-02-24 02:27:54,2017-02-24 15:40:25,2017-02-27 14:23:38,2017-04-04 23:20:19,0,1,"up",2017-02-27 14:23:38,36782.5277777778,61335.8055555556,36.3726967592593,51.3041666671429,51.1289855071429
"UCDHIST-GS0466-2011-04-12",2016,2016-04-05 03:17:46,2016-04-05 20:44:06,2016-04-07 00:23:26,2016-04-20 04:27:15,0,1,"up",2016-04-07 00:23:26,8279.38461538462,16582.1538461538,13.1693171296296,62.7829968957143,59.5863095257143
"UCDHIST-GS0470-2011-04-12",2016,2016-03-26 08:14:33,2016-03-26 17:31:46,2016-03-28 03:56:36,2016-04-10 14:10:16,0,1,"up",2016-03-28 03:56:36,10292.5714285714,24919.2142857143,13.4261574074074,58.4970238114286,57.1571946157143
"UCDHIST-GS0471-2011-04-12",2016,2016-03-10 10:13:55,2016-03-11 01:06:40,2016-03-12 05:35:58,2016-03-25 23:09:36,0,1,"up",2016-03-12 05:35:58,36658.9285714286,58737.8571428571,13.7316898148148,54.5947722571429,56.1452639757143
"UCDHIST-GS0473-2011-04-14",2013,2013-08-20 01:04:02,2013-09-16 04:16:38,2013-08-28 02:53:51,NA,NA,0,"up",2013-08-28 02:53:51,7410,16467,NA,71.783891304,71.6464285714286
"UCDHIST-GS0473-2011-04-14",2015,2015-03-06 07:03:59,2015-04-06 14:08:36,2015-04-07 03:55:06,NA,NA,0,"up",2015-04-07 03:55:06,4636.6,5763.88,NA,62.3873599457143,64.1892857128571
"UCDHIST-GS0474-2011-04-14",2014,2014-03-05 22:47:30,2014-03-20 15:53:04,2014-03-21 19:01:29,2014-04-11 13:09:57,0,1,"up",2014-03-21 19:01:29,7036.66666666667,10584.8095238095,20.7558796296296,61.0758799171429,58.4934523814286
"UCDHIST-GS0476-2011-04-14",2016,2016-03-13 10:07:54,2016-03-14 07:57:09,2016-03-18 07:57:47,2016-03-31 19:07:00,0,1,"up",2016-03-18 07:57:47,23907.3846153846,48867.8461538462,13.4647337962963,57.17148033,53.57217909
"UCDHIST-GS0477-2011-04-14",2015,2015-02-26 20:56:39,2015-02-28 22:08:49,2015-03-02 13:21:00,NA,1,1,"up",2015-03-02 13:21:00,NA,NA,NA,56.9703933742857,55.9190476185714
"UCDHIST-GS0478-2011-04-14",2016,2016-02-26 16:36:15,2016-02-27 07:43:00,2016-02-28 15:41:06,2016-03-18 22:00:39,1,1,"up",2016-02-28 15:41:06,27596.4736842105,39927.5263157895,19.2635763888889,56.8666666657143,55.2476190485714
