"animal_id","water_year","last_detection_startup_2","first_detection_endup","status","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0445-2009-10-11",2017,2017-02-17 05:40:22,2017-03-20 17:13:57,"up_complete",1,"up",2017-02-17 05:40:22,62965.0625,66278.65625,31.4816550925926,51.3581521742857,52.5136904757143
"UCDHIST-GS0446-2009-10-11",2014,2014-02-12 14:14:03,2014-03-15 12:01:39,"up_complete",1,"up",2014-02-12 14:14:03,8724,14700.3870967742,30.9080555555556,54.9946428571429,51.4017857128571
"UCDHIST-GS0452-2009-10-23",2012,2012-04-06 14:00:02,2012-04-26 22:12:46,"up_complete",1,"up",2012-04-06 14:00:02,10532.05,21830.8,20.3421759259259,57.25059524,55.51190476
"UCDHIST-GS0453-2009-10-23",2014,2014-05-02 07:54:31,2014-05-11 13:25:11,"up_complete",1,"up",2014-05-02 07:54:31,5071.77777777778,4660,9.22962962962963,67.0303571428571,65.9089285714286
"UCDHIST-GS0455-2010-05-04",2014,2014-03-14 10:40:43,2014-05-01 19:43:51,"up_complete",1,"up",2014-03-14 10:40:43,5700.08333333333,8886.85416666667,48.3771759259259,58.7059523814286,57.5846532085714
"UCDHIST-GS0455-2010-05-04",2019,2019-03-04 12:12:04,2019-05-01 05:05:38,"up_complete",1,"up",2019-03-04 12:12:04,36834.0526315789,52628.2280701754,57.7038657407407,52.4714285714286,50.4571428571429
"UCDHIST-GS0457-2010-05-06",2015,2015-02-16 21:50:12,2015-03-02 12:30:48,"up_complete",1,"up",2015-02-16 21:50:12,6229.64285714286,11735.2142857143,13.6115277777778,57.3446428571429,55.6476190485714
"UCDHIST-GS0458-2010-05-08",2015,2015-04-21 14:05:56,2015-05-30 16:50:27,"up_complete",1,"up",2015-04-21 14:05:56,5652.66666666667,6443.12820512821,39.1142476851852,64.9440476171429,62.8795548671429
"UCDHIST-GS0458-2010-05-08",2019,2019-03-17 00:08:37,2019-04-22 13:33:27,"up_complete",1,"up",2019-03-17 00:08:37,34628.6756756757,53363.3783783784,36.558912037037,56.4857142857143,52.5428571428571
"UCDHIST-GS0460-2011-04-12",2015,2015-04-06 01:34:40,2015-04-24 03:01:46,"up_complete",1,"up",2015-04-06 01:34:40,4341.5,5841.72222222222,18.0604861111111,62.32009804,64.5922619042857
